pos_val,neg_val,anticipation,anger,disgust,fear,joy,sadness,surprise,trust,word
0.045000000000000005,0.045000000000000005,0.0,0.0957,0.08058,0.0,0.0,0.0,0.0,0.0,' چیز بی‌ارزش
0.009166666666666667,0.06833333333333334,0.0,0.0,0.0,0.0,0.0,0.09747000000000001,0.0,0.0,( اسم مفعول فعل .( go
0.0,0.55,0.0,0.6100599999999999,0.0,0.0,0.0,0.0,0.0,0.0,( اسم مفعول وزمان گذشته فعل . ( sting
0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.24849999999999997,0.0,0.0,( اسم مفعول( tear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12402,(=frankforterکالباس یا روده پرکرده از گوشت گاو
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12192,0.0,(ز.ع.-عنوان خودمانی (dadبابا
0.0,0.018,0.0,0.024787999999999998,0.031586,0.0,0.0,0.0085,0.0,0.0,) د.گ.) دروغ کوچک
0.0,0.0,0.0,0.0,0.04248,0.03624,0.0,0.04376,0.0,0.0,) طب ) ازدیاد غیر عادی مایع
0.0,0.0,0.0,0.0,0.02256,0.03564,0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,0.10545,0.13357,0.0,0.09195999999999999,0.0,0.0,As
0.0,0.0,0.0,0.0,0.0,0.0,0.032760000000000004,0.0,0.0,0.0,Compact Disk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28619999999999995,Frank
0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.1152,0.0,0.0,0.0,Grace
0.0,0.01125,0.0,0.0,0.01113875,0.0,0.0,0.02252875,0.0,0.0,Gray
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11394,0.0,Hg
0.0,0.0,0.044045,0.054049999999999994,0.0,0.0,0.0,0.0,0.0,0.0,Ram
0.0,0.0,0.0,0.00684,0.01692,0.01269,0.0,0.0,0.0,0.0,man ) اقا
0.03,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.03936,0.0444,vastity)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06678,vienna sausage)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447999999999998,wiener )
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128,0.0,0.0,آب
0.0,0.0,0.0,0.0,0.05115,0.0,0.0,0.0,0.0,0.0,آب از لب و لوچه جاری کردن
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03912,0.0,0.0,آب باران
0.0,0.0,0.0,0.005324,0.0,0.017408,0.0,0.005852,0.0,0.005324,آب بند
0.0,0.0,0.0,0.0,0.0,0.09846,0.0,0.0,0.0,0.0,آب تنی
0.0,0.0,0.0230175,0.0,0.07998,0.0,0.0,0.0,0.0,0.0,آب دهان
0.0,0.0,0.0,0.0,0.0,0.0,0.01716,0.0,0.0,0.0,آب نبات نعناع
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384,0.0,0.0,آب و هوا ورق
0.0,0.0,0.0,0.0,0.0,0.0,0.14112,0.0,0.0,0.0,آب گرفتگی
0.0,0.0,0.0,0.0,0.0,0.13128,0.0,0.0,0.0,0.0,آبتنی
0.0,0.0,0.0,0.0,0.0,0.0,0.0846,0.0,0.0,0.0,آبجو
0.0,0.0,0.0,0.0,0.14256,0.0,0.0,0.0,0.0,0.0,آبخانه
0.125,0.0,0.026875,0.0,0.0,0.0,0.0208125,0.0,0.005375,0.0195,آبخور
0.0,0.03791666666666667,0.0,0.0,0.005013333333333333,0.0,0.012533333333333332,0.02448,0.0,0.0,آبدار
0.0,0.0,0.04306499999999999,0.0,0.08264999999999999,0.0,0.0,0.0,0.0,0.0,آبدهان
0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,آبدیده
0.11858606557377048,0.006331967213114754,0.030388852459016395,0.002159016393442623,0.0,0.003562622950819672,0.05918622950819672,0.0009304918032786884,0.012207213114754098,0.09438672131147541,آبرو
0.4645833333333334,0.0,0.0,0.0,0.0,0.0,0.21098666666666666,0.0,0.0,0.24942333333333333,آبرومند
0.0,0.0,0.0,0.0,0.153024,0.0,0.0,0.0,0.0,0.023615999999999998,آبریز
0.0,0.0,0.0,0.0,0.0,0.0,0.08008,0.0,0.0,0.0,آبزن
0.0,0.0,0.22092000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,آبستن
0.0,0.0,0.0,0.0,0.07708,0.0,0.0,0.0,0.0,0.0,آبستنی
0.0,0.0,0.0,0.0,0.0,0.0,0.10872,0.0,0.0,0.0,آبشار
0.16,0.0,0.0344,0.0,0.0,0.0,0.02664,0.0,0.00688,0.02496,آبشخور
0.09,0.06,0.046079999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.06468,آبلهکوبی
0.0,0.125,0.0,0.0,0.18500000000000003,0.14066666666666666,0.0,0.14133333333333334,0.0,0.0,آبله‌مرغان
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16871999999999998,0.0,آبکوهه
0.02125,0.01225,0.0,0.0,0.0,0.018368000000000002,0.00564,0.034612,0.0,0.0,آبکی
0.0,0.0,0.0,0.0,0.0,0.0,0.049395,0.0,0.0,0.0,آبگیر
0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10276,آبی
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.0,آبی هوا
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,آبی وحشی ان
0.0,0.0,0.045758333333333324,0.0,0.0,0.03958333333333333,0.0,0.029766666666666663,0.0,0.0,آب‌مروارید
0.0,0.0,0.237,0.0,0.0,0.0,0.20333333333333334,0.0,0.104,0.0,آب‌نبات
0.0,0.03,0.0,0.05292,0.053399999999999996,0.0,0.0,0.0,0.0,0.0,آتروفی
0.0,0.06,0.0,0.01248,0.0,0.035039999999999995,0.0,0.04496,0.0,0.0,آتروفیک - آرتریت
0.021374999999999998,0.1155,0.006675,0.0472025,0.025672500000000004,0.0651495,0.012504999999999999,0.0285525,0.0027524999999999997,0.0,آتش
0.0,0.0,0.0,0.042640000000000004,0.0,0.049999999999999996,0.0,0.0,0.05248,0.0,آتش افروز
0.0,0.0,0.0,0.07593749999999999,0.0,0.089875,0.0,0.0,0.0,0.0,آتش رگبار گلوله
0.0,0.07,0.0,0.0,0.0,0.35616000000000003,0.0,0.0,0.0,0.0,آتش زدن
0.0,0.0,0.0,0.0,0.0,0.0,0.05448,0.0,0.0,0.0,آتش سوسک
0.0,0.0,0.0,0.33761,0.0,0.0,0.0,0.0,0.358995,0.0,آتش گرفتن
0.0,0.0,0.0,0.0,0.0,0.0,0.10920000000000002,0.0,0.0,0.0,آتشدان
0.22499999999999998,0.22499999999999998,0.1266,0.0,0.0,0.0,0.14679999999999999,0.0,0.0,0.1234,آتشی
0.10500000000000001,0.10500000000000001,0.07,0.0,0.0,0.0,0.035,0.0,0.0,0.0,آتشین
0.0,0.0,0.0,0.0,0.0,0.0,0.03372,0.0,0.0,0.07404,آتش‌بس
0.0,0.0,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,آتی
0.0,0.0,0.12375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,آج خون اشام
0.0,0.0,0.05616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,آج چرخ
0.016693548387096777,0.00870967741935484,0.02520741935483871,0.003147741935483871,0.004363548387096774,0.01868290322580645,0.021965483870967743,0.04567935483870968,0.00499,0.01700193548387097,آخر
0.0,0.0,0.035992500000000004,0.0,0.0053125,0.0,0.0066725000000000005,0.0,0.0126225,0.0284725,آخرالامر
0.0,0.0,0.027325,0.0,0.0031249999999999997,0.0,0.003925,0.0,0.007425,0.011325,آخرکار
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02125,0.0,0.0,آخری
0.0121875,0.01625,0.020662499999999997,0.0,0.00453125,0.02021125,0.005691249999999999,0.035315,0.010766249999999998,0.01642125,آخرین
0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.11471999999999999,0.0,0.0,آخرین مکان
0.0,0.0,0.0,0.0,0.0,0.0,0.09047999999999999,0.0,0.0,0.0,آخوند
0.04517857142857142,0.008571428571428572,0.0,0.0,0.0,0.0,0.045407142857142854,0.0,0.018244285714285713,0.033737142857142854,آداب
0.0,0.0,0.0,0.0,0.0,0.0,0.04512,0.0,0.0,0.0,آداب و رسوم وظیفه
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17615999999999998,آدابدان
0.0,0.0,0.0,0.0,0.0,0.0,0.03744,0.0,0.0,0.0,آدامس نعناع
0.0,0.0,0.013035,0.0,0.0,0.0,0.03642666666666667,0.0,0.0,0.08372,آدم
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447999999999998,0.0,آدم احمق و دست و پا چلفتی
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14985,آدم با سابقه و مجرب
0.0,0.09,0.0,0.02724,0.03096,0.0,0.0,0.0,0.0,0.0,آدم تقلیدگر
